ablation,cost_per_u,level,nervousness,otif,recovery_days,rupture_pct,seed,so_rejected,so_total,status,wip_avg,wip_sd
-CPM_absorption,128.46,fort,0.033,0.949,20,0.0,2500,0,18,ok,8.37,12.374066192011977
-tolerance_filter,129.61,fort,0.033,0.949,20,0.0,2500,0,18,ok,8.37,12.374066192011977
-all_filters,129.61,fort,0.033,0.949,20,0.0,2500,0,18,ok,8.37,12.374066192011977
baseline,111.37,fort,0.017,0.9499,19,0.0,2501,0,15,ok,5.03,9.257093783187813
+skip_latency_V13C,111.37,fort,0.017,0.9499,19,0.0,2501,0,15,ok,5.03,9.257093783187813
-CPM_absorption,111.37,fort,0.017,0.9499,19,0.0,2501,0,15,ok,5.03,9.257093783187813
-tolerance_filter,115.67,fort,0.017,0.9422,19,0.0,2501,0,15,ok,5.12,9.200389945064444
-all_filters,115.67,fort,0.017,0.9422,19,0.0,2501,0,15,ok,5.12,9.200389945064444
baseline,110.92,fort,0.033,0.9501,11,0.0,2502,0,17,ok,5.47,8.710925667729036
+skip_latency_V13C,110.92,fort,0.033,0.9501,11,0.0,2502,0,17,ok,5.47,8.710925667729036
-CPM_absorption,110.92,fort,0.033,0.9501,11,0.0,2502,0,17,ok,5.47,8.710925667729036
-tolerance_filter,110.92,fort,0.033,0.9501,11,0.0,2502,0,17,ok,5.47,8.710925667729036
-all_filters,110.92,fort,0.033,0.9501,11,0.0,2502,0,17,ok,5.47,8.710925667729036
baseline,116.24,fort,0.033,0.9382,18,0.0,2503,0,16,ok,5.13,9.558857223142805
+skip_latency_V13C,116.24,fort,0.033,0.9382,18,0.0,2503,0,16,ok,5.13,9.558857223142805
-CPM_absorption,116.24,fort,0.033,0.9382,18,0.0,2503,0,16,ok,5.13,9.558857223142805
-tolerance_filter,116.24,fort,0.033,0.9382,18,0.0,2503,0,16,ok,5.13,9.558857223142805
-all_filters,116.24,fort,0.033,0.9382,18,0.0,2503,0,16,ok,5.13,9.558857223142805
baseline,132.33,fort,0.033,0.9178,19,0.0,2504,0,18,ok,7.23,12.381460534676489
+skip_latency_V13C,132.33,fort,0.033,0.9178,19,0.0,2504,0,18,ok,7.23,12.381460534676489
-CPM_absorption,132.33,fort,0.033,0.9178,19,0.0,2504,0,18,ok,7.23,12.381460534676489
-tolerance_filter,137.36,fort,0.033,0.9068,18,0.0,2504,0,18,ok,7.22,12.419355678948325
-all_filters,137.36,fort,0.033,0.9068,18,0.0,2504,0,18,ok,7.22,12.419355678948325
baseline,135.28,extrême,0.017,0.91401485,20,0.03333333333333333,2500,1,30,ok,11.43,19.8281411653445
+skip_latency_V13C,135.28,extrême,0.017,0.91401485,20,0.03333333333333333,2500,1,30,ok,11.43,19.8281411653445
-CPM_absorption,135.28,extrême,0.017,0.91401485,20,0.03333333333333333,2500,1,30,ok,11.43,19.8281411653445
-tolerance_filter,139.77,extrême,0.017,0.9106314,20,0.03333333333333333,2500,1,30,ok,11.45,19.87686886726344
-all_filters,139.77,extrême,0.017,0.9106314,20,0.03333333333333333,2500,1,30,ok,11.45,19.87686886726344
baseline,116.79,extrême,0.017,0.95,20,0.0,2501,0,28,ok,6.85,14.641744167581523
+skip_latency_V13C,116.79,extrême,0.017,0.95,20,0.0,2501,0,28,ok,6.85,14.641744167581523
-CPM_absorption,116.79,extrême,0.017,0.95,20,0.0,2501,0,28,ok,6.85,14.641744167581523
-tolerance_filter,118.3,extrême,0.017,0.95,20,0.0,2501,0,28,ok,6.85,14.641744167581523
-all_filters,118.3,extrême,0.017,0.95,20,0.0,2501,0,28,ok,6.85,14.641744167581523
baseline,98.67,extrême,0.008,0.9438,20,0.0,2502,0,25,ok,6.48,13.808402832895563
+skip_latency_V13C,98.67,extrême,0.008,0.9438,20,0.0,2502,0,25,ok,6.48,13.808402832895563
-CPM_absorption,98.67,extrême,0.008,0.9438,20,0.0,2502,0,25,ok,6.48,13.808402832895563
-tolerance_filter,99.86,extrême,0.008,0.9412,20,0.0,2502,0,25,ok,6.48,13.808402832895563
-all_filters,99.86,extrême,0.008,0.9412,20,0.0,2502,0,25,ok,6.48,13.808402832895563
baseline,113.09,extrême,0.017,0.9411,20,0.0,2503,0,28,ok,6.53,14.27987555752414
+skip_latency_V13C,113.09,extrême,0.017,0.9411,20,0.0,2503,0,28,ok,6.53,14.27987555752414
-CPM_absorption,113.09,extrême,0.017,0.9411,20,0.0,2503,0,28,ok,6.53,14.27987555752414
-tolerance_filter,115.18,extrême,0.017,0.9431,20,0.0,2503,0,28,ok,6.56,14.288619102430498
-all_filters,115.18,extrême,0.017,0.9431,20,0.0,2503,0,28,ok,6.56,14.288619102430498
baseline,130.58,extrême,0.017,0.9508,20,0.0,2504,0,26,ok,8.55,18.393390299851983
+skip_latency_V13C,130.58,extrême,0.017,0.9508,20,0.0,2504,0,26,ok,8.55,18.393390299851983
-CPM_absorption,130.58,extrême,0.017,0.9508,20,0.0,2504,0,26,ok,8.55,18.393390299851983
-tolerance_filter,138.49,extrême,0.017,0.9426,20,0.0,2504,0,26,ok,8.49,18.41035324057029
-all_filters,138.49,extrême,0.017,0.9426,20,0.0,2504,0,26,ok,8.49,18.41035324057029
