doctrine,implantation,mean_recovery_days,mean_wip,n1,n2,n3,n4,n_decisions,n_hazards,n_recoveries,otif,saturation,seed,status
of_event_bce,hybrid,2.0,4,0,0,4,0,4,4,2,1.0,1.0,42,ok
flux,hybrid,0.0,4,0,0,0,0,0,4,0,1.0,1.0,42,ok
event,hybrid,0.0,3.933333333333333,0,0,0,0,0,4,0,1.0,1.0,42,ok
event_bce,hybrid,0.0,3.933333333333333,0,0,4,0,4,4,0,1.0,1.0,42,ok
of,hybrid,3.0,4.066666666666666,0,0,0,0,0,4,1,1.0,1.0,43,ok
of_event,hybrid,2.0,4,0,0,0,0,0,4,2,1.0,1.0,43,ok
of_event_bce,hybrid,2.0,4,0,0,4,0,4,4,2,1.0,1.0,43,ok
flux,hybrid,0.0,4,0,0,0,0,0,4,0,1.0,1.0,43,ok
event,hybrid,0.0,3.933333333333333,0,0,0,0,0,4,0,1.0,1.0,43,ok
event_bce,hybrid,0.0,3.933333333333333,0,0,4,0,4,4,0,1.0,1.0,43,ok
of,hybrid,3.0,4.066666666666666,0,0,0,0,0,4,1,1.0,1.0,44,ok
of_event,hybrid,2.0,4,0,0,0,0,0,4,2,1.0,1.0,44,ok
of_event_bce,hybrid,2.0,4,0,0,4,0,4,4,2,1.0,1.0,44,ok
flux,hybrid,0.0,4,0,0,0,0,0,4,0,1.0,1.0,44,ok
event,hybrid,0.0,3.933333333333333,0,0,0,0,0,4,0,1.0,1.0,44,ok
event_bce,hybrid,0.0,3.933333333333333,0,0,4,0,4,4,0,1.0,1.0,44,ok
